name,onnx_model_path,num_model_ops,num_model_params,num_combined_params,run_args,num_rows,total_assignments,total_const_size,total_dynamic_col_size,num_dynamic_lookups,num_shuffles,total_shuffle_col_size,model_instance_shapes,model_output_scales,model_input_scales,module_sizes,required_lookups,required_range_checks,check_mode,version,num_blinding_factors,timestamp
nano_gpt_4_layers_64_embd,examples/onnx/nanoGPT/nano_gpt_4_layers_64_embd.onnx,266,213184,217408,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",9975865,19951603,4161,4160,1,1024,65536,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Tanh': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}, {'Exp': {'scale': 128.0}}, {'Rsqrt': {'scale': 128.0}}]","[[-32, 32], [-64, 64], [-2, 2], [64, 192], [-1, 1]]",UNSAFE,0.0.0,,1741135519699
nano_gpt_4_layers_80_embd,examples/onnx/nanoGPT/nano_gpt_4_layers_80_embd.onnx,266,326896,331120,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",14210194,28420341,5201,5200,1,1024,65536,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Exp': {'scale': 128.0}}, {'Rsqrt': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}, {'Tanh': {'scale': 128.0}}]","[[-64, 64], [-1, 1], [-40, 40], [64, 192]]",UNSAFE,0.0.0,,1741135521427
nano_gpt_4_layers_96_embd,examples/onnx/nanoGPT/nano_gpt_4_layers_96_embd.onnx,266,465184,469408,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",19230813,38461601,6241,6240,1,1024,65536,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'GreaterThanEqual': {'a': 0.0}}, {'Tanh': {'scale': 128.0}}, {'Rsqrt': {'scale': 128.0}}, {'Exp': {'scale': 128.0}}]","[[-64, 64], [-48, 48], [64, 192], [-1, 1]]",UNSAFE,0.0.0,,1741135523466
nano_gpt_4_layers_112_embd,examples/onnx/nanoGPT/nano_gpt_4_layers_112_embd.onnx,266,628048,632272,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",25038067,50076043,7281,7280,1,1024,65536,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Rsqrt': {'scale': 128.0}}, {'Exp': {'scale': 128.0}}, {'Tanh': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}]","[[-64, 64], [-56, 56], [64, 192], [-1, 1]]",UNSAFE,0.0.0,,1741135525966
nano_gpt_4_layers_128_embd,examples/onnx/nanoGPT/nano_gpt_4_layers_128_embd.onnx,266,815488,819712,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",31631674,63263243,8321,8320,1,1024,65536,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Rsqrt': {'scale': 128.0}}, {'Exp': {'scale': 128.0}}, {'Tanh': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}]","[[-64, 64], [64, 192], [-1, 1]]",UNSAFE,0.0.0,,1741135528736
nano_gpt_4_layers_144_embd,examples/onnx/nanoGPT/nano_gpt_4_layers_144_embd.onnx,266,1027504,1031728,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",39011608,78023167,9361,9360,1,1024,65536,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Rsqrt': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}, {'Exp': {'scale': 128.0}}, {'Tanh': {'scale': 128.0}}]","[[-64, 64], [-72, 72], [-1, 1], [64, 192]]",UNSAFE,0.0.0,,1741135531810
nano_gpt_5_layers_64_embd,examples/onnx/nanoGPT/nano_gpt_5_layers_64_embd.onnx,329,262336,266560,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",12426685,24853145,4161,4160,1,1280,81920,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Rsqrt': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}, {'Exp': {'scale': 128.0}}, {'Tanh': {'scale': 128.0}}]","[[-32, 32], [-2, 2], [-1, 1], [64, 192], [-64, 64]]",UNSAFE,0.0.0,,1741135533291
nano_gpt_10_layers_64_embd,examples/onnx/nanoGPT/nano_gpt_10_layers_64_embd.onnx,644,508096,512320,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",24681025,49361493,4161,4160,1,2560,163840,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'GreaterThanEqual': {'a': 0.0}}, {'Tanh': {'scale': 128.0}}, {'Exp': {'scale': 128.0}}, {'Rsqrt': {'scale': 128.0}}]","[[64, 192], [-1, 1], [-32, 32], [-2, 2], [-64, 64]]",UNSAFE,0.0.0,,1741135536299
nano_gpt_15_layers_64_embd,examples/onnx/nanoGPT/nano_gpt_15_layers_64_embd.onnx,959,753856,758080,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",36934845,73869375,4161,4160,1,3840,245760,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Tanh': {'scale': 128.0}}, {'Rsqrt': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}, {'Exp': {'scale': 128.0}}]","[[-32, 32], [64, 192], [-2, 2], [-1, 1], [-64, 64]]",UNSAFE,0.0.0,,1741135540868
nano_gpt_20_layers_64_embd,examples/onnx/nanoGPT/nano_gpt_20_layers_64_embd.onnx,1274,999616,1003840,"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",49188858,98377391,4161,4160,1,5120,327680,"[[1, 64, 65]]",[7],[0],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'Tanh': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}, {'Exp': {'scale': 128.0}}, {'Rsqrt': {'scale': 128.0}}]","[[64, 192], [-2, 2], [-1, 1], [-32, 32], [-64, 64]]",UNSAFE,0.0.0,,1741135546992
