g,job_id,start_op,end_op,num_ops,sum_op_time_s,max_op_time_s,sum_op_mem_gb,max_op_mem_gb,actual_time_s,actual_mem_gb
2,1,1,2,2,11.459837182890624,7.418433913961053,3.2521743774414062,1.7377815246582031,2.0800914540304802,0.1615486145019531
2,2,3,4,2,7.10399637511,4.170961844036356,3.0469436645507812,1.7165145874023438,1.14509653596906,0.3608322143554687
2,3,5,6,2,6.877817037166096,4.071913081104867,3.295093536376953,1.7673492431640625,0.8758165430044754,0.0
2,4,7,8,2,9.346176652936265,5.274641711032018,3.673114776611328,1.8658370971679688,1.1736719269538298,0.3981246948242187
2,5,9,10,2,37.66391562705394,34.799867353984155,7.135219573974609,3.867500305175781,28.824346091947522,3.1457290649414062
2,6,11,12,2,5.461732882191427,2.79324033507146,6.564350128173828,3.288341522216797,2.1431092909770086,1.5061912536621094
2,7,13,14,2,5.25139241211582,2.6437243400141597,6.615177154541016,3.31484603881836,23.39228761702543,2.6182098388671875
2,8,15,16,2,5.3297113459557295,2.6850606669904664,6.668010711669922,3.3382606506347656,2.545592567010317,1.8462257385253904
2,9,17,18,2,31.880647451034747,27.564382700016722,6.769145965576172,3.3910484313964844,64.82944494701223,12.101119995117188
2,10,19,20,2,33.43783373711631,30.294054273050275,9.49216079711914,6.096927642822266,11.72449495998444,3.4981727600097656
2,11,21,22,2,16.625956334755756,14.034767498844303,7.141105651855469,3.5726394653320312,1.1739140490535647,2.653217315673828
2,12,23,24,2,16.596026552142575,13.872845532139761,7.152496337890625,3.5796661376953125,1.4366655200137757,2.654499053955078
2,13,25,26,2,6.5065876570297405,3.750030330964364,7.086231231689453,3.588970184326172,0.4450556549709289,0.0
2,14,27,28,2,6.582355192978866,3.89845929807052,6.998508453369141,3.501239776611328,45.4298091759556,7.000450134277344
2,15,29,30,2,6.149029941065237,3.644526137039065,7.0383453369140625,3.519207000732422,2.378590453008656,2.68912124633789
2,16,31,32,2,8.872593185980804,5.1055972799658775,7.0776214599609375,3.545246124267578,2.5123887159861624,2.83209228515625
