model,config,num_tasks,max_task_time_s,max_task_memory_gb,total_proving_work_s,boundary_mb,cut_edges
DenseMLP,Mono,1,45.0,7.0,45.0,0.0,0
DenseMLP,k=8,5,21.5,3.8,47.0,4.0,3
DenseMLP,k=4,9,14.0,2.5,48.5,7.2,6
DenseMLP,k=2,18,8.4,1.6,50.5,12.8,10
DenseMLP,k=1,36,4.8,1.0,54.0,22.0,19
ConvNet,Mono,1,80.0,13.0,80.0,0.0,0
ConvNet,k=8,5,38.5,7.2,83.5,22.0,7
ConvNet,k=4,9,25.0,4.7,86.0,42.0,13
ConvNet,k=2,18,15.2,3.0,90.0,70.0,22
ConvNet,k=1,36,8.8,1.9,96.0,120.0,38
MobileConv,Mono,1,70.0,11.0,70.0,0.0,0
MobileConv,k=8,5,33.0,6.0,73.0,30.0,10
MobileConv,k=4,9,22.0,4.0,75.5,56.0,18
MobileConv,k=2,18,13.5,2.5,79.0,96.0,31
MobileConv,k=1,36,7.6,1.6,84.0,168.0,55
ResidualConv,Mono,1,92.0,15.5,92.0,0.0,0
ResidualConv,k=8,5,44.0,8.5,96.0,40.0,12
ResidualConv,k=4,9,29.0,5.6,99.0,76.0,24
ResidualConv,k=2,18,17.5,3.6,104.0,128.0,41
ResidualConv,k=1,36,10.0,2.3,110.0,224.0,70
TransformerBlock,Mono,1,135.0,23.0,135.0,0.0,0
TransformerBlock,k=8,5,65.0,12.5,140.0,25.0,8
TransformerBlock,k=4,9,42.0,8.4,146.0,48.0,16
TransformerBlock,k=2,18,26.0,5.4,153.0,82.0,28
TransformerBlock,k=1,36,15.0,3.5,162.0,140.0,47
UpsampleDecoder,Mono,1,105.0,19.0,105.0,0.0,0
UpsampleDecoder,k=8,5,51.0,10.5,109.0,58.0,15
UpsampleDecoder,k=4,9,34.0,6.8,113.0,110.0,29
UpsampleDecoder,k=2,18,21.0,4.4,119.0,185.0,49
UpsampleDecoder,k=1,36,12.0,2.8,126.0,325.0,88
