model,config,task_id,num_nodes,activation_mb,param_mb,op_weighted_cost,prove_time_s,peak_mem_gb
DenseMLP,Mono,0,64,25.5,21.81,149.89,76.29,3.79
DenseMLP,k=8,0,5,8.2,0.92,48.11,20.78,1.24
DenseMLP,k=8,1,7,10.56,1.01,72.8,22.13,1.38
DenseMLP,k=8,2,6,3.99,1.96,26.59,12.9,0.47
DenseMLP,k=8,3,11,2.05,3.31,26.78,13.52,0.1
DenseMLP,k=8,4,5,8.56,1.01,53.45,22.03,1.13
DenseMLP,k=4,0,9,3.72,1.75,33.73,15.64,0.75
DenseMLP,k=4,1,4,4.83,1.75,26.82,11.52,0.5
DenseMLP,k=4,2,13,5.18,2.64,51.62,16.83,0.66
DenseMLP,k=4,3,7,12.7,1.16,78.02,30.39,1.34
DenseMLP,k=4,4,9,11.73,7.75,71.67,31.89,1.39
DenseMLP,k=4,5,4,17.29,1.79,79.49,42.85,1.62
DenseMLP,k=4,6,3,27.02,2.55,132.9,55.5,2.46
DenseMLP,k=4,7,1,1.94,1.52,10.35,7.37,0.82
DenseMLP,k=4,8,3,14.97,2.05,72.62,28.06,1.06
DenseMLP,k=2,0,4,3.21,3.31,18.91,13.16,0.44
DenseMLP,k=2,1,7,16.38,5.03,87.53,38.65,1.63
DenseMLP,k=2,2,10,12.78,4.45,81.52,32.44,1.52
DenseMLP,k=2,3,2,18.97,3.57,90.3,42.57,1.78
DenseMLP,k=2,4,6,16.99,3.64,83.89,39.59,1.26
DenseMLP,k=2,5,11,6.55,3.44,62.79,29.58,0.87
DenseMLP,k=2,6,8,15.85,12.75,86.67,41.49,2.02
DenseMLP,k=2,7,7,12.53,5.41,64.71,27.75,0.66
DenseMLP,k=2,8,6,18.86,1.37,103.05,46.16,1.82
DenseMLP,k=2,9,6,7.83,1.67,45.82,19.59,0.99
DenseMLP,k=2,10,9,4.39,6.43,33.88,15.36,0.73
DenseMLP,k=2,11,6,6.76,4.12,39.66,16.24,0.72
DenseMLP,k=2,12,9,6.88,15.24,50.04,15.92,0.84
DenseMLP,k=2,13,11,7.42,2.34,51.03,25.63,1.16
DenseMLP,k=2,14,9,9.97,10.51,66.98,26.26,1.37
DenseMLP,k=2,15,7,6.84,6.11,44.92,11.38,1.21
DenseMLP,k=2,16,10,6.78,2.46,51.65,16.94,0.91
DenseMLP,k=2,17,6,5.77,1.59,34.58,18.52,0.99
DenseMLP,k=1,0,8,7.16,1.64,51.8,25.32,0.42
DenseMLP,k=1,1,10,1.62,2.53,29.22,6.5,0.1
DenseMLP,k=1,2,7,13.65,2.27,82.14,31.37,1.83
DenseMLP,k=1,3,7,8.71,5.43,54.81,29.51,1.53
DenseMLP,k=1,4,8,6.58,1.3,41.84,17.91,0.74
DenseMLP,k=1,5,6,7.42,4.94,38.62,16.0,1.12
DenseMLP,k=1,6,9,5.08,9.36,37.47,17.61,0.27
DenseMLP,k=1,7,9,7.34,7.81,54.59,23.92,0.96
DenseMLP,k=1,8,10,6.63,2.96,50.24,22.99,1.06
DenseMLP,k=1,9,12,7.09,9.31,52.78,26.17,1.01
DenseMLP,k=1,10,12,11.63,2.4,79.45,33.27,1.24
DenseMLP,k=1,11,6,3.94,31.3,30.65,25.77,0.51
DenseMLP,k=1,12,3,6.87,3.07,41.18,14.62,0.86
DenseMLP,k=1,13,11,4.04,7.16,35.62,17.7,0.76
DenseMLP,k=1,14,12,4.72,3.96,50.72,15.82,0.71
DenseMLP,k=1,15,4,4.68,5.97,32.83,22.5,0.92
DenseMLP,k=1,16,11,6.81,2.72,53.57,14.83,1.29
DenseMLP,k=1,17,5,3.63,2.38,30.92,15.86,0.37
DenseMLP,k=1,18,8,7.28,1.54,49.76,20.41,0.45
DenseMLP,k=1,19,10,2.51,4.09,26.17,9.29,0.3
DenseMLP,k=1,20,9,3.12,2.9,39.92,12.17,0.49
DenseMLP,k=1,21,9,4.98,4.93,37.19,18.8,0.7
DenseMLP,k=1,22,4,20.04,3.12,96.88,40.86,1.8
DenseMLP,k=1,23,6,8.42,8.09,43.39,21.25,1.26
DenseMLP,k=1,24,7,9.93,12.01,60.43,30.18,1.15
DenseMLP,k=1,25,12,15.55,1.88,96.77,36.33,1.93
DenseMLP,k=1,26,9,6.65,2.42,39.0,20.41,0.78
DenseMLP,k=1,27,6,12.3,1.96,64.45,26.48,0.91
DenseMLP,k=1,28,14,6.45,2.51,61.52,13.74,0.88
DenseMLP,k=1,29,7,3.73,4.77,20.61,11.58,0.74
DenseMLP,k=1,30,1,2.6,2.8,13.27,4.55,0.35
DenseMLP,k=1,31,7,2.65,2.77,18.89,2.65,0.1
DenseMLP,k=1,32,9,6.04,13.94,37.02,19.46,0.9
DenseMLP,k=1,33,6,9.3,3.25,49.94,15.3,0.71
DenseMLP,k=1,34,11,11.31,8.83,69.22,30.86,1.07
DenseMLP,k=1,35,7,7.02,4.29,53.75,18.45,0.97
ConvNet,Mono,0,57,38.21,10.0,137.08,88.31,5.06
ConvNet,k=8,0,6,4.79,1.17,34.32,10.9,0.41
ConvNet,k=8,1,6,10.86,1.7,63.62,31.53,0.71
ConvNet,k=8,2,10,30.66,1.88,160.46,64.35,3.03
ConvNet,k=8,3,5,8.41,1.45,43.13,17.9,0.66
ConvNet,k=8,4,4,5.85,1.23,32.89,15.39,0.1
ConvNet,k=4,0,7,3.96,1.2,24.32,8.28,0.28
ConvNet,k=4,1,7,2.72,6.7,21.33,12.76,0.68
ConvNet,k=4,2,2,14.06,17.03,64.41,36.33,1.42
ConvNet,k=4,3,6,6.1,2.09,42.71,19.69,0.68
ConvNet,k=4,4,11,15.36,5.65,87.36,44.5,1.98
ConvNet,k=4,5,1,3.35,2.23,21.66,12.63,0.27
ConvNet,k=4,6,7,11.95,1.19,70.7,28.3,1.27
ConvNet,k=4,7,6,3.23,1.5,26.72,11.09,0.36
ConvNet,k=4,8,10,5.75,1.25,44.14,17.26,0.7
ConvNet,k=2,0,10,10.57,7.72,70.67,30.11,1.49
ConvNet,k=2,1,6,8.81,1.49,52.16,21.02,1.02
ConvNet,k=2,2,12,39.03,7.54,199.5,90.88,3.89
ConvNet,k=2,3,5,7.11,2.74,39.03,21.94,0.63
ConvNet,k=2,4,5,12.17,1.92,59.06,24.63,1.34
ConvNet,k=2,5,8,9.18,2.31,52.79,26.08,0.65
ConvNet,k=2,6,6,2.95,2.42,24.57,14.03,0.1
ConvNet,k=2,7,11,4.02,4.26,44.23,14.8,0.61
ConvNet,k=2,8,8,6.88,1.88,48.04,19.97,0.43
ConvNet,k=2,9,11,8.83,0.49,57.72,29.16,1.42
ConvNet,k=2,10,7,2.33,2.82,29.94,12.2,0.3
ConvNet,k=2,11,4,13.52,2.89,70.66,32.55,1.75
ConvNet,k=2,12,7,9.12,0.82,60.79,26.71,0.98
ConvNet,k=2,13,1,5.13,3.65,35.77,16.01,0.73
ConvNet,k=2,14,9,19.37,1.38,101.11,40.75,1.88
ConvNet,k=2,15,6,8.14,1.5,49.28,18.2,1.41
ConvNet,k=2,16,5,45.13,12.62,207.23,100.09,4.45
ConvNet,k=2,17,2,11.57,3.16,57.94,23.44,1.1
ConvNet,k=1,0,8,6.64,2.09,45.22,15.98,0.87
ConvNet,k=1,1,1,21.67,3.57,102.0,48.51,1.7
ConvNet,k=1,2,13,3.43,4.93,43.21,20.89,0.62
ConvNet,k=1,3,2,9.43,0.47,45.55,18.86,1.29
ConvNet,k=1,4,6,5.46,1.84,32.37,12.91,0.78
ConvNet,k=1,5,3,6.44,1.04,34.21,15.52,0.34
ConvNet,k=1,6,5,7.99,6.19,50.74,21.81,0.63
ConvNet,k=1,7,2,12.78,10.17,63.33,35.5,1.18
ConvNet,k=1,8,5,22.23,1.48,113.08,49.96,2.15
ConvNet,k=1,9,12,3.98,2.35,31.43,11.1,0.49
ConvNet,k=1,10,5,6.4,4.22,35.44,10.82,0.76
ConvNet,k=1,11,8,3.26,1.76,39.52,16.74,0.74
ConvNet,k=1,12,9,8.19,2.2,57.7,22.63,0.83
ConvNet,k=1,13,6,6.98,6.78,38.56,26.7,0.56
ConvNet,k=1,14,5,14.34,1.69,72.12,32.12,0.66
ConvNet,k=1,15,5,3.74,2.72,29.35,13.91,0.84
ConvNet,k=1,16,11,15.31,3.22,96.15,36.55,1.61
ConvNet,k=1,17,11,12.92,1.08,77.18,35.27,1.55
ConvNet,k=1,18,10,2.13,1.2,28.37,7.66,0.4
ConvNet,k=1,19,7,9.52,3.02,59.73,27.38,1.07
ConvNet,k=1,20,3,18.61,4.02,91.97,41.62,1.37
ConvNet,k=1,21,8,4.72,1.26,43.81,15.13,0.67
ConvNet,k=1,22,9,23.44,0.78,119.82,54.31,2.13
ConvNet,k=1,23,1,8.28,4.04,43.35,20.15,0.7
ConvNet,k=1,24,7,7.3,2.24,48.23,21.1,0.57
ConvNet,k=1,25,10,13.41,6.35,66.62,33.21,1.44
ConvNet,k=1,26,4,11.26,1.0,64.93,27.76,0.98
ConvNet,k=1,27,11,10.34,4.4,62.03,29.49,1.55
ConvNet,k=1,28,10,3.0,10.27,41.63,19.77,0.48
ConvNet,k=1,29,2,3.9,2.09,22.94,11.7,0.22
ConvNet,k=1,30,2,5.49,1.13,35.32,10.06,0.66
ConvNet,k=1,31,9,3.63,7.28,33.45,12.67,0.33
ConvNet,k=1,32,7,15.3,0.69,85.69,35.17,1.32
ConvNet,k=1,33,6,7.09,3.04,47.73,16.78,1.27
ConvNet,k=1,34,9,4.7,0.68,38.84,13.77,0.79
ConvNet,k=1,35,9,27.89,2.92,147.35,61.9,2.62
MobileConv,Mono,0,82,25.65,11.65,134.41,80.5,4.21
MobileConv,k=8,0,6,3.27,4.35,22.55,9.92,0.51
