name,onnx_model_path,input_data_path,num_ops,num_params,model_ops,run_args,num_rows,total_assignments,total_const_size,total_dynamic_col_size,num_dynamic_lookups,num_shuffles,total_shuffle_col_size,model_instance_shapes,model_output_scales,model_input_scales,module_sizes,required_lookups,required_range_checks,check_mode,version,num_blinding_factors,timestamp
bert,examples/onnx/mnist_classifier/network.onnx,examples/onnx/bert/input.json,18,44426,"['Conv', 'Sigmoid', 'AveragePool', 'Conv', 'Sigmoid', 'AveragePool', 'Shape', 'Constant', 'Gather', 'Unsqueeze', 'Constant', 'Concat', 'Reshape', 'Gemm', 'Sigmoid', 'Gemm', 'Sigmoid', 'Gemm']","{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",167585,335171,4,0,0,0,0,"[[1, 10]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}",[{'Sigmoid': {'scale': 128.0}}],"[[-2, 2], [-64, 64]]",UNSAFE,0.0.0,,1757461900322
bert,examples/onnx/bert/bert_tiny_squad.onnx,examples/onnx/bert/input.json,190,4369666,"['Constant', 'Gather', 'Gather', 'Add', 'Gather', 'Add', 'ReduceMean', 'Sub', 'Constant', 'Pow', 'ReduceMean', 'Constant', 'Add', 'Sqrt', 'Div', 'Mul', 'Add', 'Constant', 'Unsqueeze', 'Constant', 'Unsqueeze', 'Constant', 'Constant', 'ConstantOfShape', 'Constant', 'Mul', 'Equal', 'Where', 'Expand', 'Cast', 'Constant', 'Sub', 'Cast', 'Cast', 'Constant', 'Where', 'MatMul', 'Add', 'Constant', 'Constant', 'Constant', 'Reshape', 'Transpose', 'MatMul', 'Add', 'Reshape', 'MatMul', 'Add', 'Reshape', 'Transpose', 'Shape', 'Constant', 'Constant', 'Slice', 'Cast', 'Sqrt', 'Constant', 'Div', 'Cast', 'Transpose', 'Sqrt', 'Mul', 'Sqrt', 'Mul', 'MatMul', 'Add', 'Softmax', 'MatMul', 'Transpose', 'Constant', 'Reshape', 'MatMul', 'Add', 'Add', 'ReduceMean', 'Sub', 'Constant', 'Pow', 'ReduceMean', 'Constant', 'Add', 'Sqrt', 'Div', 'Mul', 'Add', 'MatMul', 'Add', 'Constant', 'Div', 'Erf', 'Constant', 'Add', 'Mul', 'Constant', 'Mul', 'MatMul', 'Add', 'Add', 'ReduceMean', 'Sub', 'Constant', 'Pow', 'ReduceMean', 'Constant', 'Add', 'Sqrt', 'Div', 'Mul', 'Add', 'MatMul', 'Add', 'Constant', 'Constant', 'Constant', 'Reshape', 'Transpose', 'MatMul', 'Add', 'Reshape', 'MatMul', 'Add', 'Reshape', 'Transpose', 'Shape', 'Constant', 'Constant', 'Slice', 'Cast', 'Sqrt', 'Constant', 'Div', 'Cast', 'Transpose', 'Sqrt', 'Mul', 'Sqrt', 'Mul', 'MatMul', 'Add', 'Softmax', 'MatMul', 'Transpose', 'Constant', 'Reshape', 'MatMul', 'Add', 'Add', 'ReduceMean', 'Sub', 'Constant', 'Pow', 'ReduceMean', 'Constant', 'Add', 'Sqrt', 'Div', 'Mul', 'Add', 'MatMul', 'Add', 'Constant', 'Div', 'Erf', 'Constant', 'Add', 'Mul', 'Constant', 'Mul', 'MatMul', 'Add', 'Add', 'ReduceMean', 'Sub', 'Constant', 'Pow', 'ReduceMean', 'Constant', 'Add', 'Sqrt', 'Div', 'Mul', 'Add', 'MatMul', 'Add', 'Constant', 'Split', 'Constant', 'Squeeze', 'Constant', 'Squeeze']","{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",128343889,256686421,3906817,3907072,2,1536,589824,"[[1, 384], [1, 384]]","[7, 7]","[0, 0, 0]","{'polycommit': [], 'poseidon': [0, [0]]}","[{'Exp': {'scale': 128.0}}, {'Erf': {'scale': 128.0}}, {'GreaterThanEqual': {'a': 0.0}}, {'Rsqrt': {'scale': 128.0}}, {'Cast': {'scale': 128.0}}]","[[-1, 1], [64, 192], [-64, 64]]",UNSAFE,0.0.0,,1757462075528
01e6782e298f6e5e4f43fc212dd5d4ac,cache/7f189c9fa1fd4e40ab190fdda15d70fd\01e6782e298f6e5e4f43fc212dd5d4ac\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\01e6782e298f6e5e4f43fc212dd5d4ac\input.json,2,0,"['Constant', 'Pow']","{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",448,897,1,0,0,0,0,"[[1, 1, 128]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}",[],"[[-64, 64]]",UNSAFE,0.0.0,,1757501266643
026df20e1657b558bed5ccaeea69a506,cache/7f189c9fa1fd4e40ab190fdda15d70fd\026df20e1657b558bed5ccaeea69a506\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\026df20e1657b558bed5ccaeea69a506\input.json,1,128,['Mul'],"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",448,897,1,0,0,0,0,"[[1, 1, 128]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}",[],"[[-64, 64]]",UNSAFE,0.0.0,,1757501266665
036fce62664cc251bba27d6305703a9f,cache/7f189c9fa1fd4e40ab190fdda15d70fd\036fce62664cc251bba27d6305703a9f\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\036fce62664cc251bba27d6305703a9f\input.json,2,0,"['Constant', 'Div']","{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",1792,3585,1,0,0,0,0,"[[1, 1, 512]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}",[],"[[-64, 64]]",UNSAFE,0.0.0,,1757501266683
045ca49cd6b8d23d14e5be6496c2eb12,cache/7f189c9fa1fd4e40ab190fdda15d70fd\045ca49cd6b8d23d14e5be6496c2eb12\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\045ca49cd6b8d23d14e5be6496c2eb12\input.json,1,0,['Transpose'],"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",1,2,0,0,0,0,0,"[[1, 1, 1, 1]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}",[],[],UNSAFE,0.0.0,,1757501266700
079edbffda42eec4c803e8431469db47,cache/7f189c9fa1fd4e40ab190fdda15d70fd\079edbffda42eec4c803e8431469db47\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\079edbffda42eec4c803e8431469db47\input.json,1,0,['ReduceMean'],"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",131,263,1,0,0,0,0,"[[1, 1, 1]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}",[],"[[-64, 64]]",UNSAFE,0.0.0,,1757501266717
092d11cea854ff67f887c942ce7699ee,cache/7f189c9fa1fd4e40ab190fdda15d70fd\092d11cea854ff67f887c942ce7699ee\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\092d11cea854ff67f887c942ce7699ee\input.json,1,16384,['MatMul'],"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",8576,17153,1,0,0,0,0,"[[1, 1, 128]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}",[],"[[-64, 64]]",UNSAFE,0.0.0,,1757501266744
0da55bd4f000f3a35704f1466d3cc8f4,cache/7f189c9fa1fd4e40ab190fdda15d70fd\0da55bd4f000f3a35704f1466d3cc8f4\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\0da55bd4f000f3a35704f1466d3cc8f4\input.json,1,0,['Softmax'],"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",18,37,4,0,0,1,1,"[[1, 1, 1, 1]]",[7],[7],"{'polycommit': [], 'poseidon': [0, [0]]}","[{'GreaterThanEqual': {'a': 0.0}}, {'Exp': {'scale': 128.0}}]","[[64, 192], [-64, 64]]",UNSAFE,0.0.0,,1757501266765
0df1a434ecb68ab9ed0a5d72d9ec520e,cache/7f189c9fa1fd4e40ab190fdda15d70fd\0df1a434ecb68ab9ed0a5d72d9ec520e\model.onnx,cache/7f189c9fa1fd4e40ab190fdda15d70fd\0df1a434ecb68ab9ed0a5d72d9ec520e\input.json,1,0,['Div'],"{'tolerance': {'val': 0.0, 'scale': 1.0}, 'input_scale': 7, 'param_scale': 7, 'scale_rebase_multiplier': 1, 'lookup_range': [-32768, 32768], 'logrows': 17, 'num_inner_cols': 2, 'variables': [['batch_size', 1]], 'input_visibility': 'Private', 'output_visibility': 'Public', 'param_visibility': 'Private', 'div_rebasing': False, 'rebase_frac_zero_constants': False, 'check_mode': 'UNSAFE', 'commitment': 'KZG'}",459,918,4,0,0,0,0,"[[1, 1, 128]]",[7],"[7, 7]","{'polycommit': [], 'poseidon': [0, [0]]}",[],"[[-64, 64], [64, 192]]",UNSAFE,0.0.0,,1757501266784
